   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
      0       0       2       5 |       2       7 | (padding)
   1207      16       0       0 |    1223       0 | (unknown)
      0       0       0    4096 |       0    4096 | C stack
     66       0       0       0 |      66       0 | device/esp
   5717      31       0       0 |    5748       0 | github.com/bxparks/acetimego/acetime
    411       0       0       0 |     411       0 | github.com/bxparks/acetimego/internal/strbuild
      0   25050    1422       0 |   26472    1422 | github.com/bxparks/acetimego/zonedb2025
   1934       0       0       0 |    1934       0 | github.com/bxparks/acetimego/zoneinfo
     59       0       0       0 |      59       0 | internal/bytealg
     37       0       0       0 |      37       0 | internal/stringslite
    292      24       0       8 |     316       8 | internal/task
      9       0       0       0 |       9       0 | machine
    264     158       0       0 |     422       0 | main
     10       0       0       0 |      10       0 | math/bits
   2301     172       0      63 |    2473      63 | runtime
     53       0       0       0 |      53       0 | runtime/interrupt
    107       0       0       0 |     107       0 | runtime/volatile
    465     108       0       0 |     573       0 | strings
------------------------------- | --------------- | -------
  12932   25559    1424    4172 |   39915    5596 | total
