   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     27    4335      24      38 |    4386      62 | (unknown)
   3002      27       4     536 |    3033     540 | C musl
   6485      67       0       0 |    6552       0 | github.com/bxparks/AceTimeGo/acetime
    470       0       0       0 |     470       0 | github.com/bxparks/AceTimeGo/internal/strbuild
      0   33400    1652       0 |   35052    1652 | github.com/bxparks/AceTimeGo/zonedb
   2444       0       0       0 |    2444       0 | github.com/bxparks/AceTimeGo/zoneinfo
     63       0       0       0 |      63       0 | internal/bytealg
    365      24       0      16 |     389      16 | internal/task
    316     158       0       0 |     474       0 | main
   3270     165       8      91 |    3443      99 | runtime
    635     124       0       0 |     759       0 | strings
------------------------------- | --------------- | -------
  17077   38300    1688     681 |   57065    2369 | total
