   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     26    4286      23     606 |    4335     629 | (unknown)
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/crt
   1020       0       0       0 |    1020       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/env
      5       0       0       0 |       5       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/errno
    155       0       0       0 |     155       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/exit
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/internal
    161       0       0       0 |     161       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/mman
    100       0       0       0 |     100       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/signal
   1129       0       0       0 |    1129       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/string
    106       0       0       0 |     106       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread
     16       0       0       0 |      16       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread/x86_64
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/unistd
    233       0       0       0 |     233       0 | C musl
   6950      71       0       0 |    7021       0 | github.com/bxparks/AceTimeGo/acetime
      0   70237    1833       0 |   72070    1833 | github.com/bxparks/AceTimeGo/zonedb
   2444       0       0       0 |    2444       0 | github.com/bxparks/AceTimeGo/zoneinfo
     63       0       0       0 |      63       0 | internal/bytealg
    365      24       0      16 |     389      16 | internal/task
    282     158       0       0 |     440       0 | main
   3256     128       8      91 |    3392      99 | runtime
    603     124       0       0 |     727       0 | strings
------------------------------- | --------------- | -------
  17012   75028    1864     713 |   93904    2577 | total
