   code  rodata    data     bss |   flash     ram | package
------------------------------- | --------------- | -------
     25   20351     304     633 |   20680     937 | (unknown)
     30       0       0       0 |      30       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/crt
   1020       0       0       0 |    1020       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/env
      5       0       0       0 |       5       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/errno
    155       0       0       0 |     155       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/exit
    553       0       0       0 |     553       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/internal
    161       0       0       0 |     161       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/mman
    100       0       0       0 |     100       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/signal
   1258       0       0       0 |    1258       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/string
    106       0       0       0 |     106       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread
     16       0       0       0 |      16       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/thread/x86_64
    152       0       0       0 |     152       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/time
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/lib/musl/src/unistd
     38       0       0       0 |      38       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/internal/task
     36       0       0       0 |      36       0 | /home/brian/src/coding/go/usr/local/lib/tinygo/src/runtime
   1772    2128       0      56 |    3900      56 | /usr/local/go/src/syscall
    274       0       0       0 |     274       0 | C musl
    234       0       0       0 |     234       0 | Go interface assert
    555       0       0       0 |     555       0 | Go interface method
      0     917       0       0 |     917       0 | Go reflect data
     49       0       0       0 |      49       0 | errors
  13007     241       0       0 |   13248       0 | fmt
   8504      32       0       0 |    8536       0 | github.com/bxparks/AceTimeGo/acetime
      0    8994   59722       0 |   68716   59722 | github.com/bxparks/AceTimeGo/zonedb
    351       0       0       0 |     351       0 | github.com/bxparks/AceTimeGo/zoneinfo
     84       0       0       0 |      84       0 | internal/bytealg
     79       0       0       0 |      79       0 | internal/fmtsort
    157       2       0       0 |     159       0 | internal/itoa
      0      38      32       0 |      70      32 | internal/oserror
    427      24       0      16 |     451      16 | internal/task
    353      25       0       0 |     378       0 | io/fs
   1972     450       0       0 |    2422       0 | main
     29       0       0       0 |      29       0 | math
    293     320       0       0 |     613       0 | math/bits
    137      16      48      24 |     201      72 | os
   3827     902       0       0 |    4729       0 | reflect
   7564     217      12     119 |    7793     131 | runtime
   9109   16670    1322       0 |   27101    1322 | strconv
    609     124       0       0 |     733       0 | strings
    633     200       0       0 |     833       0 | sync
     80    2954       0       8 |    3034       8 | syscall
  20796    1077     168     160 |   22041     328 | time
   1229     288       0       0 |    1517       0 | unicode/utf8
------------------------------- | --------------- | -------
  75817   55970   61608    1016 |  193395   62624 | total
